Date,Open,High,Low,Close,Adj Close,Volume,ChangeStock,wtAVG
2019-03-01,10842.65039,10877.90039,10823.09961,10863.5,10863.5,308500,20.84961,0.492686509
2019-03-05,10864.84961,10994.90039,10817,10987.4502,10987.4502,373200,122.60059,0.500842821
2019-03-06,11024.84961,11062.29981,10998.84961,11053,11053,372600,28.15039,0.500640129
2019-03-07,11077.9502,11089.04981,11027.09961,11058.2002,11058.2002,321200,-19.75,0.501778975
2019-03-08,11038.84961,11049,11008.9502,11035.40039,11035.40039,326600,-3.44922,0.498170108
2019-03-11,11068.75,11180.90039,11059.84961,11168.04981,11168.04981,352200,99.29981,0.497842994
2019-03-12,11231.34961,11320.40039,11227,11301.2002,11301.2002,391300,69.85059,0.499061179
2019-03-13,11326.2002,11352.29981,11276.59961,11341.7002,11341.7002,383000,15.5,0.497197516
2019-03-14,11382.5,11383.4502,11313.75,11343.25,11343.25,294500,-39.25,0.497484978
2019-03-15,11376.84961,11487,11370.79981,11426.84961,11426.84961,463700,50,0.500200735
2019-03-18,11473.84961,11530.15039,11412.5,11462.2002,11462.2002,320300,-11.64941,0.496597132
2019-03-19,11500.29981,11543.84961,11451.25,11532.40039,11532.40039,326100,32.10058,0.499745511
2019-03-20,11553.34961,11556.09961,11503.09961,11521.04981,11521.04981,366300,-32.2998,0.504809931
2019-03-22,11549.2002,11572.79981,11434.54981,11456.90039,11456.90039,386200,-92.29981,0.492289679
2019-03-25,11395.65039,11395.65039,11311.59961,11354.25,11354.25,294500,-41.40039,0.488627339
2019-03-26,11375.2002,11496.75,11352.4502,11483.25,11483.25,282600,108.0498,0.493688152
2019-03-27,11531.4502,11546.2002,11413,11445.04981,11445.04981,350400,-86.40039,0.491138873
2019-03-28,11463.65039,11588.5,11452.4502,11570,11570,527700,106.34961,0.492483546
2019-04-01,11665.2002,11738.09961,11644.75,11669.15039,11669.15039,379600,3.95019,0.487300808
2019-04-02,11711.54981,11729.34961,11655.84961,11713.2002,11713.2002,386100,1.65039,0.492555234
2019-04-03,11735.29981,11761,11629.15039,11643.9502,11643.9502,365800,-91.34961,0.491444724
2019-04-04,11660.2002,11662.54981,11559.2002,11598,11598,349000,-62.2002,0.493655634
2019-04-05,11638.40039,11689.65039,11609.5,11665.9502,11665.9502,266700,27.54981,0.49152598
